A,Total Population,Household Population,Number of Households,District
Barangay 1,1976,1976,453,Tondo
Barangay 2,1662,1662,378,Tondo
Barangay 3,1134,1134,267,Tondo
Barangay 4,1872,1860,448,Tondo
Barangay 5,1199,1199,272,Tondo
Barangay 6,664,664,158,Tondo
Barangay 7,1010,1010,246,Tondo
Barangay 8,137,137,36,Tondo
Barangay 9,437,437,112,Tondo
Barangay 10,378,378,109,Tondo
Barangay 11,2188,2188,528,Tondo
Barangay 12,2654,2654,635,Tondo
Barangay 13,2280,2280,537,Tondo
Barangay 14,2283,2283,542,Tondo
Barangay 15,1085,1085,205,Tondo
Barangay 16,1792,1792,375,Tondo
Barangay 17,1211,1211,257,Tondo
Barangay 18,2140,2140,534,Tondo
Barangay 19,2361,2361,563,Tondo
Barangay 20,38602,38602,9296,Tondo
Barangay 25,2606,2606,660,Tondo
Barangay 26,2806,2806,625,Tondo
Barangay 28,2578,2578,619,Tondo
Barangay 29,4652,4652,1112,Tondo
Barangay 30,436,436,109,Tondo
Barangay 31,2835,2835,645,Tondo
Barangay 32,2221,2221,497,Tondo
Barangay 33,4206,4206,944,Tondo
Barangay 34,1612,1612,367,Tondo
Barangay 35,2412,2412,557,Tondo
Barangay 36,2024,2024,457,Tondo
Barangay 37,1960,1960,426,Tondo
Barangay 38,3001,3001,672,Tondo
Barangay 39,2460,2460,560,Tondo
Barangay 41,3706,3706,863,Tondo
Barangay 42,2238,2238,572,Tondo
Barangay 43,3388,3388,793,Tondo
Barangay 44,951,951,231,Tondo
Barangay 45,2329,2329,510,Tondo
Barangay 46,1914,1914,441,Tondo
Barangay 47,1490,1490,357,Tondo
Barangay 48,4174,4174,1101,Tondo
Barangay 49,2052,2035,593,Tondo
Barangay 50,3869,3867,982,Tondo
Barangay 51,3019,3019,741,Tondo
Barangay 52,2876,2876,692,Tondo
Barangay 53,2582,2582,609,Tondo
Barangay 54,1791,1791,424,Tondo
Barangay 55,2797,2797,588,Tondo
Barangay 56,3324,3324,718,Tondo
Barangay 57,1115,1115,294,Tondo
Barangay 58,3735,3727,907,Tondo
Barangay 59,2000,2000,488,Tondo
Barangay 60,2141,2141,525,Tondo
Barangay 61,3521,3521,807,Tondo
Barangay 62,1879,1879,421,Tondo
Barangay 63,1661,1661,365,Tondo
Barangay 64,555,555,126,Tondo
Barangay 65,1758,1758,404,Tondo
Barangay 66,3721,3721,847,Tondo
Barangay 67,3983,3983,915,Tondo
Barangay 68,1113,1113,268,Tondo
Barangay 69,2199,2199,559,Tondo
Barangay 70,2124,2124,553,Tondo
Barangay 71,2298,2285,511,Tondo
Barangay 72,3342,3342,792,Tondo
Barangay 73,1745,1745,380,Tondo
Barangay 74,887,857,231,Tondo
Barangay 75,1564,1564,379,Tondo
Barangay 76,1699,1699,378,Tondo
Barangay 77,1429,1429,333,Tondo
Barangay 78,1081,1081,246,Tondo
Barangay 79,1543,1543,380,Tondo
Barangay 80,2268,2268,573,Tondo
Barangay 81,2042,2042,515,Tondo
Barangay 82,2652,2652,600,Tondo
Barangay 83,1303,1303,296,Tondo
Barangay 84,838,838,202,Tondo
Barangay 85,3614,3614,873,Tondo
Barangay 86,1440,1440,349,Tondo
Barangay 87,1580,1580,349,Tondo
Barangay 88,868,868,199,Tondo
Barangay 89,747,747,180,Tondo
Barangay 90,473,473,112,Tondo
Barangay 91,5569,5569,1319,Tondo
Barangay 92,2383,2383,560,Tondo
Barangay 93,4528,4528,1065,Tondo
Barangay 94,1841,1841,416,Tondo
Barangay 95,5046,5046,1158,Tondo
Barangay 96,4375,4375,1114,Tondo
Barangay 97,3558,3558,813,Tondo
Barangay 98,1022,1022,251,Tondo
Barangay 99,0,0,0,Tondo
Barangay 100,1979,1979,430,Tondo
Barangay 101,11853,11853,2708,Tondo
Barangay 102,3418,3418,759,Tondo
Barangay 103,4431,4431,1027,Tondo
Barangay 104,5334,5334,1188,Tondo
Barangay 105,23206,23192,5701,Tondo
Barangay 106,2851,2841,633,Tondo
Barangay 107,6377,6377,1399,Tondo
Barangay 108,5079,5079,1066,Tondo
Barangay 109,3646,3646,744,Tondo
Barangay 110,2524,2479,585,Tondo
Barangay 111,1978,1978,437,Tondo
Barangay 112,3752,3752,819,Tondo
Barangay 116,6946,6946,1625,Tondo
Barangay 117,4396,4396,913,Tondo
Barangay 118,10077,10077,2410,Tondo
Barangay 119,3251,3251,774,Tondo
Barangay 120,3525,3525,780,Tondo
Barangay 121,5617,5617,1413,Tondo
Barangay 122,4257,4257,1059,Tondo
Barangay 123,8490,8490,2032,Tondo
Barangay 124,2626,2626,605,Tondo
Barangay 125,2098,2098,445,Tondo
Barangay 126,1054,1054,261,Tondo
Barangay 127,597,597,139,Tondo
Barangay 128,18218,18218,3959,Tondo
Barangay 129,5361,5347,1273,Tondo
Barangay 130,1816,1792,462,Tondo
Barangay 131,1443,1443,323,Tondo
Barangay 132,1036,1036,253,Tondo
Barangay 133,2263,2263,544,Tondo
Barangay 134,1041,1041,277,Tondo
Barangay 135,2057,2057,502,Tondo
Barangay 136,928,928,209,Tondo
Barangay 137,827,827,215,Tondo
Barangay 138,2990,2990,743,Tondo
Barangay 139,426,426,113,Tondo
Barangay 140,671,671,158,Tondo
Barangay 141,506,506,113,Tondo
Barangay 142,1729,1729,415,Tondo
Barangay 143,992,992,246,Tondo
Barangay 144,1775,1775,439,Tondo
Barangay 145,1117,1117,282,Tondo
Barangay 146,2734,2734,613,Tondo
Barangay 147,2140,2140,589,Tondo
Barangay 148,2414,2414,571,Tondo
Barangay 149,1739,1739,403,Tondo
Barangay 150,2396,2396,563,Tondo
Barangay 151,1399,1399,333,Tondo
Barangay 152,3502,3502,775,Tondo
Barangay 153,2703,2603,612,Tondo
Barangay 154,1112,1112,243,Tondo
Barangay 155,2916,2916,729,Tondo
Barangay 156,1581,1581,360,Tondo
Barangay 157,2075,2075,461,Tondo
Barangay 158,2213,2202,506,Tondo
Barangay 159,1701,1701,366,Tondo
Barangay 160,2375,2375,604,Tondo
Barangay 161,1157,1157,284,Tondo
Barangay 162,716,716,172,Tondo
Barangay 163,5390,5390,1174,Tondo
Barangay 164,2083,2083,468,Tondo
Barangay 165,989,989,232,Tondo
Barangay 166,1139,1139,254,Tondo
Barangay 167,1256,1248,299,Tondo
Barangay 168,1342,1324,306,Tondo
Barangay 169,1707,1707,393,Tondo
Barangay 170,882,882,208,Tondo
Barangay 171,1383,1374,321,Tondo
Barangay 172,1464,1464,336,Tondo
Barangay 173,2037,2037,489,Tondo
Barangay 174,635,635,151,Tondo
Barangay 175,1108,1096,272,Tondo
Barangay 176,1396,1396,306,Tondo
Barangay 177,3239,3239,738,Tondo
Barangay 178,1250,1250,288,Tondo
Barangay 179,3076,3069,673,Tondo
Barangay 180,3267,3267,746,Tondo
Barangay 181,2498,2498,559,Tondo
Barangay 182,6002,6002,1348,Tondo
Barangay 183,2874,2874,646,Tondo
Barangay 184,3562,3561,834,Tondo
Barangay 185,3497,3497,852,Tondo
Barangay 186,1884,1884,456,Tondo
Barangay 187,871,871,191,Tondo
Barangay 188,1292,1275,318,Tondo
Barangay 189,1546,1531,373,Tondo
Barangay 190,1171,1171,236,Tondo
Barangay 191,712,712,162,Tondo
Barangay 192,1638,1638,370,Tondo
Barangay 193,1183,1183,289,Tondo
Barangay 194,888,888,199,Tondo
Barangay 195,1225,1225,282,Tondo
Barangay 196,1029,1029,234,Tondo
Barangay 197,873,873,222,Tondo
Barangay 198,5397,5397,1153,Tondo
Barangay 199,3355,3355,764,Tondo
Barangay 200,1852,1852,428,Tondo
Barangay 201,1711,1711,460,Tondo
Barangay 202,1115,1115,272,Tondo
Barangay 202-A,578,578,162,Tondo
Barangay 203,2816,2806,655,Tondo
Barangay 204,2219,2204,579,Tondo
Barangay 205,1496,1496,303,Tondo
Barangay 206,2065,2065,440,Tondo
Barangay 207,1101,1101,272,Tondo
Barangay 208,1075,1075,259,Tondo
Barangay 209,3195,3195,747,Tondo
Barangay 210,3154,3154,755,Tondo
Barangay 211,2688,2688,618,Tondo
Barangay 212,2649,2649,615,Tondo
Barangay 213,2913,2913,664,Tondo
Barangay 214,1373,1373,332,Tondo
Barangay 215,2896,2896,591,Tondo
Barangay 216,2787,2787,655,Tondo
Barangay 217,1053,1053,246,Tondo
Barangay 218,682,682,171,Tondo
Barangay 219,817,817,199,Tondo
Barangay 220,1536,1536,368,Tondo
Barangay 221,2914,2914,731,Tondo
Barangay 222,1966,1966,449,Tondo
Barangay 223,1489,1489,342,Tondo
Barangay 224,1039,1039,247,Tondo
Barangay 225,2444,2444,568,Tondo
Barangay 226,1513,1513,338,Tondo
Barangay 227,2939,2927,648,Tondo
Barangay 228,2015,2015,478,Tondo
Barangay 229,1281,1281,306,Tondo
Barangay 230,1345,1345,310,Tondo
Barangay 231,2432,2422,549,Tondo
Barangay 232,2339,2339,542,Tondo
Barangay 233,1648,1538,362,Tondo
Barangay 234,1650,1610,420,Tondo
Barangay 235,1721,1721,412,Tondo
Barangay 236,620,620,147,Tondo
Barangay 237,605,605,150,Tondo
Barangay 238,464,464,133,Tondo
Barangay 239,1744,1744,419,Tondo
Barangay 240,103,103,29,Tondo
Barangay 241,634,634,151,Tondo
Barangay 242,712,692,170,Tondo
Barangay 243,338,338,89,Tondo
Barangay 244,1029,1029,225,Tondo
Barangay 245,350,350,91,Tondo
Barangay 246,1260,1260,311,Tondo
Barangay 247,542,542,170,Tondo
Barangay 248,485,485,117,Tondo
Barangay 249,784,784,194,Tondo
Barangay 250,1284,1284,322,Tondo
Barangay 251,723,723,170,Tondo
Barangay 252,253,253,63,Tondo
Barangay 253,1491,1491,402,Tondo
Barangay 254,2853,2853,722,Tondo
Barangay 255,2000,2000,506,Tondo
Barangay 256,2086,2086,502,Tondo
Barangay 257,796,796,173,Tondo
Barangay 258,908,908,215,Tondo
Barangay 259,3362,3362,852,Tondo
Barangay 260,1341,1341,346,Tondo
Barangay 261,800,800,188,Tondo
Barangay 262,2226,2226,591,Tondo
Barangay 263,1786,1786,447,Tondo
Barangay 264,1823,1823,450,Tondo
Barangay 265,593,593,160,Tondo
Barangay 266,1482,1477,364,Tondo
Barangay 267,2195,2195,517,Tondo
Barangay 287,2049,2049,581,Binondo
Barangay 288,1549,1549,461,Binondo
Barangay 289,571,571,171,Binondo
Barangay 290,1413,1413,464,Binondo
Barangay 291,1383,1383,356,Binondo
Barangay 292,3144,3144,839,Binondo
Barangay 293,2937,2937,939,Binondo
Barangay 294,2415,2415,656,Binondo
Barangay 295,1154,1154,291,Binondo
Barangay 296,1425,1425,409,Binondo
Barangay 383,1821,1821,506,Quiapo
Barangay 384,3195,3195,784,Quiapo
Barangay 385,2920,2857,749,Quiapo
Barangay 386,1341,1341,291,Quiapo
Barangay 387,2994,2975,749,Quiapo
Barangay 388,989,989,266,Quiapo
Barangay 389,1056,799,186,Quiapo
Barangay 390,762,716,217,Quiapo
Barangay 391,2639,2196,574,Quiapo
Barangay 392,677,494,115,Quiapo
Barangay 393,3876,3805,1107,Quiapo
Barangay 394,1548,1426,382,Quiapo
Barangay 306,1310,1310,385,Quiapo
Barangay 307,1142,1034,339,Quiapo
Barangay 308,925,925,250,Quiapo
Barangay 309,1283,1236,310,Quiapo
Barangay 268,885,879,228,San Nicolas
Barangay 269,1050,1023,341,San Nicolas
Barangay 270,1179,1179,288,San Nicolas
Barangay 271,572,572,180,San Nicolas
Barangay 272,1255,1255,314,San Nicolas
Barangay 273,988,988,246,San Nicolas
Barangay 274,1857,1857,451,San Nicolas
Barangay 275,19031,19031,4661,San Nicolas
Barangay 276,2524,2524,586,San Nicolas
Barangay 281,2181,2181,576,San Nicolas
Barangay 282,2548,2548,629,San Nicolas
Barangay 283,1982,1982,539,San Nicolas
Barangay 284,1032,1032,260,San Nicolas
Barangay 285,2306,2306,632,San Nicolas
Barangay 286,3679,3653,981,San Nicolas
Barangay 297,1076,1076,294,Santa Cruz
Barangay 298,698,698,217,Santa Cruz
Barangay 299,1684,1684,393,Santa Cruz
Barangay 300,615,591,132,Santa Cruz
Barangay 301,271,260,94,Santa Cruz
Barangay 302,682,682,214,Santa Cruz
Barangay 303,393,369,138,Santa Cruz
Barangay 304,250,250,94,Santa Cruz
Barangay 305,533,533,183,Santa Cruz
Barangay 310,20483,12441,3633,Santa Cruz
Barangay 311,1891,1891,555,Santa Cruz
Barangay 312,2887,2887,862,Santa Cruz
Barangay 313,1534,1534,448,Santa Cruz
Barangay 314,2189,2189,617,Santa Cruz
Barangay 315,1716,1716,495,Santa Cruz
Barangay 316,1217,1217,380,Santa Cruz
Barangay 317,1619,1619,405,Santa Cruz
Barangay 318,1057,1057,281,Santa Cruz
Barangay 319,1036,1023,225,Santa Cruz
Barangay 320,1126,1126,315,Santa Cruz
Barangay 321,499,499,117,Santa Cruz
Barangay 322,767,767,202,Santa Cruz
Barangay 323,1270,1270,333,Santa Cruz
Barangay 324,868,868,227,Santa Cruz
Barangay 325,863,863,217,Santa Cruz
Barangay 326,927,912,221,Santa Cruz
Barangay 327,1310,1310,335,Santa Cruz
Barangay 328,752,752,177,Santa Cruz
Barangay 329,728,728,165,Santa Cruz
Barangay 330,2393,2380,666,Santa Cruz
Barangay 331,1134,1113,255,Santa Cruz
Barangay 332,482,482,113,Santa Cruz
Barangay 333,967,967,252,Santa Cruz
Barangay 334,1751,1751,446,Santa Cruz
Barangay 335,1753,1753,510,Santa Cruz
Barangay 336,2108,2108,666,Santa Cruz
Barangay 337,1662,1662,469,Santa Cruz
Barangay 338,1281,1281,335,Santa Cruz
Barangay 339,1705,1705,492,Santa Cruz
Barangay 340,2096,2094,533,Santa Cruz
Barangay 341,1819,1819,448,Santa Cruz
Barangay 342,1877,1850,423,Santa Cruz
Barangay 343,1880,1880,499,Santa Cruz
Barangay 344,633,593,202,Santa Cruz
Barangay 345,1324,1324,316,Santa Cruz
Barangay 346,1548,1535,468,Santa Cruz
Barangay 347,1320,1320,363,Santa Cruz
Barangay 348,1049,1049,272,Santa Cruz
Barangay 349,704,704,174,Santa Cruz
Barangay 350,4232,4232,1176,Santa Cruz
Barangay 351,3805,3805,908,Santa Cruz
Barangay 352,1640,1618,419,Santa Cruz
Barangay 353,2246,2246,577,Santa Cruz
Barangay 354,1824,1824,440,Santa Cruz
Barangay 355,1075,1075,284,Santa Cruz
Barangay 356,386,386,97,Santa Cruz
Barangay 357,884,884,241,Santa Cruz
Barangay 358,831,831,231,Santa Cruz
Barangay 359,363,363,94,Santa Cruz
Barangay 360,893,893,210,Santa Cruz
Barangay 361,781,781,198,Santa Cruz
Barangay 362,575,575,148,Santa Cruz
Barangay 363,562,562,174,Santa Cruz
Barangay 364,2039,2039,453,Santa Cruz
Barangay 365,1328,1328,301,Santa Cruz
Barangay 366,1062,1062,291,Santa Cruz
Barangay 367,1653,1641,409,Santa Cruz
Barangay 368,1293,1293,343,Santa Cruz
Barangay 369,1186,1186,380,Santa Cruz
Barangay 370,744,744,228,Santa Cruz
Barangay 371,839,839,212,Santa Cruz
Barangay 372,3638,3638,867,Santa Cruz
Barangay 373,4004,4004,888,Santa Cruz
Barangay 374,3615,3615,818,Santa Cruz
Barangay 375,3711,3711,814,Santa Cruz
Barangay 376,1006,1006,234,Santa Cruz
Barangay 377,516,516,117,Santa Cruz
Barangay 378,1136,1136,288,Santa Cruz
Barangay 379,680,680,166,Santa Cruz
Barangay 380,897,897,232,Santa Cruz
Barangay 381,1376,1376,372,Santa Cruz
Barangay 382,946,946,216,Santa Cruz
Barangay 395,632,549,160,Sampaloc
Barangay 396,1709,1709,816,Sampaloc
Barangay 397,2111,1993,751,Sampaloc
Barangay 398,2228,2228,623,Sampaloc
Barangay 399,909,909,260,Sampaloc
Barangay 400,1327,1327,472,Sampaloc
Barangay 401,2058,1950,503,Sampaloc
Barangay 402,3649,3637,1028,Sampaloc
Barangay 403,1406,1264,338,Sampaloc
Barangay 404,903,602,203,Sampaloc
Barangay 405,1005,1005,295,Sampaloc
Barangay 406,622,622,153,Sampaloc
Barangay 407,1155,1082,277,Sampaloc
Barangay 408,1199,1199,364,Sampaloc
Barangay 409,2379,2379,653,Sampaloc
Barangay 410,1821,1777,481,Sampaloc
Barangay 411,1263,1263,282,Sampaloc
Barangay 412,1646,1646,399,Sampaloc
Barangay 413,2283,2283,743,Sampaloc
Barangay 414,1220,1163,319,Sampaloc
Barangay 415,840,840,194,Sampaloc
Barangay 416,1078,1078,432,Sampaloc
Barangay 417,1748,1748,436,Sampaloc
Barangay 418,2977,2954,780,Sampaloc
Barangay 419,2016,2016,470,Sampaloc
Barangay 420,2811,2811,643,Sampaloc
Barangay 421,1351,1351,338,Sampaloc
Barangay 422,2283,2283,557,Sampaloc
Barangay 423,1397,1397,355,Sampaloc
Barangay 424,2274,2274,659,Sampaloc
Barangay 425,1578,1506,429,Sampaloc
Barangay 426,1342,1342,331,Sampaloc
Barangay 427,677,612,169,Sampaloc
Barangay 428,1351,1337,351,Sampaloc
Barangay 429,2428,2428,533,Sampaloc
Barangay 430,595,595,194,Sampaloc
Barangay 431,787,787,224,Sampaloc
Barangay 432,3544,3544,790,Sampaloc
Barangay 433,456,444,113,Sampaloc
Barangay 434,1134,1134,301,Sampaloc
Barangay 435,847,837,187,Sampaloc
Barangay 436,1186,1176,276,Sampaloc
Barangay 437,1048,1048,247,Sampaloc
Barangay 438,722,722,170,Sampaloc
Barangay 439,1786,1786,434,Sampaloc
Barangay 440,1017,1008,227,Sampaloc
Barangay 441,944,944,286,Sampaloc
Barangay 442,874,874,229,Sampaloc
Barangay 443,1471,1471,371,Sampaloc
Barangay 444,1016,1016,247,Sampaloc
Barangay 445,891,891,245,Sampaloc
Barangay 446,798,798,196,Sampaloc
Barangay 447,1591,1591,352,Sampaloc
Barangay 448,1229,1229,303,Sampaloc
Barangay 449,1562,1562,397,Sampaloc
Barangay 450,2020,2020,504,Sampaloc
Barangay 451,1598,1598,491,Sampaloc
Barangay 452,977,977,245,Sampaloc
Barangay 453,1464,1464,346,Sampaloc
Barangay 454,1268,1268,266,Sampaloc
Barangay 455,1416,1416,320,Sampaloc
Barangay 456,2094,2046,487,Sampaloc
Barangay 457,806,693,210,Sampaloc
Barangay 458,2555,2555,796,Sampaloc
Barangay 459,615,537,160,Sampaloc
Barangay 460,925,812,244,Sampaloc
Barangay 461,912,912,251,Sampaloc
Barangay 462,734,662,183,Sampaloc
Barangay 463,422,422,109,Sampaloc
Barangay 464,4242,4242,1221,Sampaloc
Barangay 465,497,403,116,Sampaloc
Barangay 466,530,530,150,Sampaloc
